,TS1_V2_turnbaugh,TS10_V2_turnbaugh,TS100_V2_turnbaugh,TS101.2_V2_turnbaugh,TS103_V2_turnbaugh,TS104_V2_turnbaugh,TS105_V2_turnbaugh,TS106_V2_turnbaugh,TS107_V2_turnbaugh,TS109_V2_turnbaugh,TS11_V2_turnbaugh,TS110_V2_turnbaugh,TS111_V2_turnbaugh,TS115_V2_turnbaugh,TS116_V2_turnbaugh,TS117_V2_turnbaugh,TS118_V2_turnbaugh,TS119_V2_turnbaugh,TS12_V2_turnbaugh,TS120_V2_turnbaugh,TS124_V2_turnbaugh,TS125_V2_turnbaugh,TS126_V2_turnbaugh,TS127_V2_turnbaugh,TS128_V2_turnbaugh,TS129_V2_turnbaugh,TS13_V2_turnbaugh,TS130_V2_turnbaugh,TS131_V2_turnbaugh,TS132_V2_turnbaugh,TS133_V2_turnbaugh,TS134_V2_turnbaugh,TS135_V2_turnbaugh,TS136_V2_turnbaugh,TS137_V2_turnbaugh,TS138_V2_turnbaugh,TS139_V2_turnbaugh,TS14_V2_turnbaugh,TS140_V2_turnbaugh,TS141_V2_turnbaugh,TS142_V2_turnbaugh,TS143_V2_turnbaugh,TS144_V2_turnbaugh,TS145_V2_turnbaugh,TS146_V2_turnbaugh,TS147_V2_turnbaugh,TS148_V2_turnbaugh,TS149_V2_turnbaugh,TS15_V2_turnbaugh,TS150_V2_turnbaugh,TS151_V2_turnbaugh,TS152_V2_turnbaugh,TS153_V2_turnbaugh,TS154.2_V2_turnbaugh,TS155_V2_turnbaugh,TS156_V2_turnbaugh,TS16_V2_turnbaugh,TS160_V2_turnbaugh,TS161_V2_turnbaugh,TS162_V2_turnbaugh,TS163_V2_turnbaugh,TS164_V2_turnbaugh,TS165_V2_turnbaugh,TS166_V2_turnbaugh,TS167_V2_turnbaugh,TS168_V2_turnbaugh,TS169_V2_turnbaugh,TS17_V2_turnbaugh,TS170_V2_turnbaugh,TS178_V2_turnbaugh,TS179_V2_turnbaugh,TS180_V2_turnbaugh,TS181_V2_turnbaugh,TS182_V2_turnbaugh,TS183_V2_turnbaugh,TS184_V2_turnbaugh,TS185_V2_turnbaugh,TS186_V2_turnbaugh,TS19_V2_turnbaugh,TS190_V2_turnbaugh,TS191_V2_turnbaugh,TS192_V2_turnbaugh,TS193_V2_turnbaugh,TS194_V2_turnbaugh,TS195_V2_turnbaugh,TS2_V2_turnbaugh,TS20_V2_turnbaugh,TS21_V2_turnbaugh,TS22_V2_turnbaugh,TS23_V2_turnbaugh,TS25_V2_turnbaugh,TS26_V2_turnbaugh,TS27_V2_turnbaugh,TS28_V2_turnbaugh,TS29_V2_turnbaugh,TS3_V2_turnbaugh,TS30_V2_turnbaugh,TS31_V2_turnbaugh,TS32_V2_turnbaugh,TS33_V2_turnbaugh,TS34_V2_turnbaugh,TS35_V2_turnbaugh,TS37_V2_turnbaugh,TS38_V2_turnbaugh,TS39_V2_turnbaugh,TS4_V2_turnbaugh,TS43_V2_turnbaugh,TS44_V2_turnbaugh,TS49_V2_turnbaugh,TS5_V2_turnbaugh,TS50_V2_turnbaugh,TS51_V2_turnbaugh,TS55_V2_turnbaugh,TS56_V2_turnbaugh,TS57_V2_turnbaugh,TS6_V2_turnbaugh,TS61_V2_turnbaugh,TS62_V2_turnbaugh,TS63_V2_turnbaugh,TS64_V2_turnbaugh,TS65_V2_turnbaugh,TS66_V2_turnbaugh,TS67_V2_turnbaugh,TS68_V2_turnbaugh,TS69_V2_turnbaugh,TS7_V2_turnbaugh,TS70_V2_turnbaugh,TS71_V2_turnbaugh,TS72_V2_turnbaugh,TS73_V2_turnbaugh,TS74_V2_turnbaugh,TS75_V2_turnbaugh,TS76_V2_turnbaugh,TS77_V2_turnbaugh,TS78_V2_turnbaugh,TS8_V2_turnbaugh,TS82_V2_turnbaugh,TS83_V2_turnbaugh,TS84_V2_turnbaugh,TS85_V2_turnbaugh,TS86_V2_turnbaugh,TS87_V2_turnbaugh,TS88_V2_turnbaugh,TS89_V2_turnbaugh,TS9_V2_turnbaugh,TS90_V2_turnbaugh,TS91_V2_turnbaugh,TS92_V2_turnbaugh,TS94_V2_turnbaugh,TS95_V2_turnbaugh,TS96_V2_turnbaugh,TS97_V2_turnbaugh,TS98_V2_turnbaugh,TS99.2_V2_turnbaugh
Catenibacterium,0,0,0.04715166,0,0,0,0,0,0.00291984,0,0,0,0,0.04706175,0.0409113,0,0,0,0,0,0,0.00084034,0.02067695,0,0,0,0,0.00034547,0,0,0.03084997,0.00083587,0,0.00087776,0,0,0.04730848,0,0.00285838,0.00463328,0.02285047,0,0.00455762,0,0.01753985,0,0,0,0,0,0.05452662,0,0,0.02292152,0,0,0,0,0,0,0,0,0.05081882,0,0,0,0.06825205,0,0,0.08838572,0.03297126,0,0.03451024,0.01676352,0.03241658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05534196,0.0569242,0.06732622,0.00422451,0,0,0,0,0,0,0.09673829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00682923,0,0,0,0.01794649,0,0,0.16902288,0.01574722,0,0,0,0.01595465,0.00068826,0.0021281,0.0393897,0,0,0,0
Sphingomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031246,0,0,0,0,0,0,0,0
Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150603,0,0,0,0,0,0,0,0,0,0,0,0,0.0004113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198641,0,0,0,0,0,0,0.00065423,0,0,0.00038503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnobacterium,0.00053641,0.0004025,0.00081115,0.00066583,0,0,0.00100824,0.0020915,0.00165601,0.00033843,0.00070526,0.00146906,0.00111937,0,0,0.00142418,0,0,0,0,0.00189404,0.00063555,0.00094835,0.0002369,0.00074576,0.00071571,0.00093029,0.00026142,0.00140054,0.00031036,0.00039629,0,0.00029312,0.00033242,0.00023941,0.00120382,0.00029904,0.00203134,0.00036104,0,0.00067843,0.00068497,0.00028807,0,0,0.00049202,0.0005662,0.00037937,0.00082586,0.00104887,0.00072845,0,0.0004532,0,0.00065726,0.00115372,0.00047008,0,0.00041616,0.00122826,0.0006221,0.0003862,0.00089446,0.00047676,0.00226434,0.00098178,0.00116839,0.00251141,0.0013112,0.00026828,0,0.00082363,0.00024483,0.00142345,0.00025107,0.00044762,0.00070671,0,0.00034607,0.00032189,0.00221352,0.00093118,0,0,0,0.00172117,0.0002624,0.00021839,0.00082432,0.00085278,0.00124806,0.00057537,0.00302167,0.00109238,0,0.00224645,0.00084483,0.00090303,0.00055885,0.00466879,0.00103975,0.00122909,0.00048824,0.00218998,0.0004724,0.00040252,0.00126118,0.00269015,0.00177886,0.00039845,0.00165507,0.00095119,0.00044615,0.00034099,0,0.0001188,0.00143505,0,0,0.00020868,0.000731,0,0.00085783,0.00023677,0,0.00065132,0.0014052,0.00135089,0.00253481,0.00027163,0.0004489,0,0.0003159,0.00036731,0,0.0006897,0,0,0,0.00041369,0.00025056,0.00042273,0,0.00120409,0.00119053,0.00104134,0.00150865,0.00052058,0,0.00031779,0.00068223,0.00040886,0.00026779,0
Lawsonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium,0.00015713,0.00070348,0.00094598,0.0005826,0.00199318,0.00171259,0.00117587,0.00152501,0.00337928,0.00059137,0,0.00192743,0.00024559,0.00120973,0.00092131,0.00581112,0.0003579,0.0002711,0.00040476,0,0.00165707,0.00083368,0.00041538,0.00062011,0.00130406,0.00500294,0.00058168,0.00022882,0.00408215,0,0.00242167,0.00055316,0.00025655,0.00203055,0.00146099,0.00315774,0,0.00146635,0,0,0.00059363,0.00119771,0,0.0027413,0.00303903,0,0.00461582,0.0007292,0.00671743,0.00010285,0.00275868,0.00287053,0,0,0.01090908,0.00050521,0,0.00064164,0,0.00021573,0.00543451,0.00134893,0.06643871,0,0.01716109,0.003147,0.00143076,0.00073305,0.00716467,0.00233922,0.00101522,0.00072066,0.00725335,0.00124538,0,0,0,0.00243392,0.00343478,0.00280818,0.00027751,0,0,0.00029832,0,0.00075342,0.00020427,0.00203857,0.00273796,0.06445658,0.00478441,0.00512617,0.00158653,0.00136495,0.00108812,0.00149766,0.0014774,0.00091471,0,0,0,0.00494304,0.00405037,0.00042655,0.00151309,0.00017663,0,0,0.00035448,0.00568012,0.0007848,0.00025037,0.00116927,0.00148814,0.00426248,0.00237126,0,0.00153081,0.0018529,0.00236288,0.00479066,0.00050789,0.00075057,0.00453867,0.00206752,0.01941502,0.00409574,0.00070954,0,0,0.00039284,0.00052532,0.00192934,0.00512826,0,0.00416365,0.00260932,0.00101169,0.00074279,0.00180613,0,0.00073887,0,0,0.00169202,0,0,0.00091008,0.00469038,0,0,0.00178501,0.00046778,0.0002199
Finegoldia,0,0,0,0,0,0,0,0,0,0,0.0007126,0,0,0.00069904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026873,0,0.00019302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeroglobus,0,0,0,0,0.00076008,0,0,0,0,0,0,0,0,0,0,0,0,0.00030975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41E-05,0,0,0,0,0,0,0,0,3.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysgonomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus,0,0,0.00157663,0.00048587,0.00110823,0,0,0,0,0,0,0,0,0.00252025,0,0,0,0.00045136,0,0,0,0.00046379,0.0884395,0,0,0,0,0,0.02517871,0,0,0,0,0.003385,0.00591297,0,0,0,0.00210167,0,0.00494167,0.00133123,0.02010037,0,0,0,0.00329869,0.00342279,0,0,0.0003547,0,0.00659707,0,0,0,0,0,0,0,0,0,0.00195587,0,0.00110147,0,0,0,0,0.13645461,0.0042287,0,0,0,0,0,0,0,6.39E-05,0,0,0,0,0,0,0,0,4.63E-05,0,0,0,0,0.00176344,0,0,0,0,0,0,0.0056472,0,0,0,0,0,0,0,0,0,0,0.00040312,0.0005554,0,0,0.00018799,0.00137564,0,0,0,0,0,0,0,0,0.02648944,0,0,0.0007886,0,0,0,0,0.00505354,0,0.00301295,0,0,0,0.00494838,0.00120493,0,0,0.00306528,0,0,0,0,0,0.01329316,0.00462187,0.0278238,0,0,0
Megamonas,0,0,0,0,0,0,0,0,0.13129854,0,0,0,0,0,0,0,0,0,0,0,0,0.00444288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05809935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02532823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14810522,0,0,0,0,0,0,0,0,0,0,0
Raoultella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020615,0,0,0,0,0,0,0,0,0,0,0.00025745,0,0,0,0,0,0.00132719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017708,0,0,0,0,0,0,0.00031607,0,0,0,9.69E-05,0,0,0,0,0,0,0,0,0,0,0.00049092,0,0,0.00019302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056791,0,0,0.00083292,0,0,0,0,0,0.00063662,0.00050268,0,0,0,0,0,0,0,0,0,0,0,0,0.00027453,0,0,0,0,0,0,0,0,0,0.0002049,0.00034293,0,0.00065436,0,0,0,0,0,0,0.00098758,0,0.00066236,0,0,0,0,0,0,0,0,0,0,0.00234385,0,0,0,0,0,0.00380397,0,0.0005821,0,0,0,0,0,0,0.00042235,0,0,0,0.00114853,0,0.00015576,0.0013575,0,0.00083808,0,0,0.00012892,0,0.00046114,0,0,0,0,0,0,0,0.00120863,0.00043649,0.00035797,0.0001867,0.00012901,0,0.00045904,0.00069181,0.00031841,0,0,0,0,0,0,0,0,0.00119442,0.00022003,0,0,0,0,0,0,0,0.001975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112501,8.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00034921,0,0.00031607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0.0007691,0.00060909,0,0.00077729,0,0,0,0.00046484,0.00104682,0,0.00068166,0,0,0,0,0,0,0,0,0,0,0.00051523,0,0,0,0,0,0,0,0.00065805,0.0010081,0,0,0.00149443,0.00100623,0.00063386,0,0,0,0,0,0.00028076,0,0.00160469,0,0,0,0,0,0,0,0.00091625,0,0,0.00169939,0.00098584,0,0,0,0,0,0.0007231,0.00294716,0.00319579,0,0,0,0,0,0,0.00122719,9.61E-05,0.00141582,0.0006978,0,0,0,0,0,6.50E-05,0,0,0,0,0,0.00044495,0,0.00068589,0.00047245,0,0,0.00017669,0.00012649,0.00114599,0.00108395,0,0,0.00069381,0,0.00139006,0,0.00089177,0,0.00091262,0.00356205,0.00098235,0,0,0.0002607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080854,0,0.00013902,0,0.00127447,0,0,0,0,0,0,0,0,0,0,0,0.00139776,0,0,0,0
Sneathia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75E-05,0,0,0,0,0,0,0.00013974,0,5.61E-05,0.00058535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victivallis,0.00098462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579895,0,0,0,0,0,0,0,0,0.00130112,0,0,0.00146432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003116,0.00083512,0,0,0,0,0,0.00415327,0,0,0,0,0,0,0,0,0,0,0,0,0.00257457,0,0,0,0,0,0,0,0,0,0,0,0,0.00353804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium,0.00107183,0.000804,0.05482107,0.09174722,0,0.00097925,0.00873042,0.00069783,0.02427449,0.00067585,0.00035313,0,0.00083978,0.00967285,0.02735296,0.00284736,0.02896692,0.00061851,0.00184716,0.00848839,0.02120308,0.00127011,0.00757981,0,0.00037338,0.00214513,0.00053202,0.00208438,0.0016338,0.00123843,0,0.00126334,0.0029222,0.01524644,0.01025283,0.0003017,0.04053479,0.00015328,0.0284439,0.02363994,0.06266344,0.00068497,0.00660366,0.00031424,0.01357631,0,0.0005662,0.00015235,0,0,0.00097093,0.00417572,0,0.0022612,0.00853239,0.02536085,0.00031372,0.00183177,0.00041616,0.00785548,0.00993861,0.07473021,0.00268139,0.01189503,0,0.0013087,0.04366146,0.0008378,0.22142461,0.0406276,0.06086674,0,0,0.00051825,0.00050113,0,0.00105956,0.03392989,0.00120873,0,0.02307439,0.00031106,0.0008904,0.00204016,0.00223065,0.00281582,0.00133706,0.00133637,0.00543489,0.00340811,0,0.00023075,0.01590987,0.00296332,0.00279703,0.00064256,0.00042292,0.00906873,0.0021527,0.0411003,0.00363663,0.03880863,0.01973433,0.0119188,0.0004724,0.00391583,0.00220631,0.01837684,0.06416561,0.0026507,0.00013884,0.00028606,0.00289447,0.00034099,0.0029494,0.0001188,0.00286909,0.00139997,0.00381141,0.01391561,0.001096,0.00058042,0,0.01061072,0.00413489,0.06893446,0,0.00054095,0.00101452,0.01272039,0.02597943,0.0047958,0.0003159,0.00366408,0.01187414,0.01195933,0,0,0.00636055,0.00412787,0.01073187,0.0147614,0.00210177,0.01604217,0.00014969,0,0.03769218,0,0.01179386,0.0370656,0,0,0.00186852,0.00375429
Propionibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.00075435,0,0,0,0,0,0,0,0,0,0,0,0.00150603,0,0,0,0,0,0,0.00170165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea,0.00963847,0.03613583,0.05563122,0.13529343,0.07439109,0.02054434,0.00537295,0.0299649,0.03916959,0.00607466,0.00246592,0.01321351,0.036348,0.02072638,0.01893697,0.03629209,0.01468794,0.02068759,0.05769348,0.03395057,0.06474307,0.01332663,0.00900084,0.02925247,0.00651763,0.03466447,0.01925048,0.00651157,0.05131751,0.10920446,0.02529971,0.02019847,0.01752819,0.03546323,0.01692844,0.05202285,0.03755436,0.04898307,0.01296232,0.00875616,0.05690527,0.03374368,0.01263217,0.00501287,0.02052182,0.02602532,0.01639169,0.02504879,0.01180279,0.09000106,0.01503495,0.00357933,0.01695868,0.01205542,0.02428264,0.0115282,0.01626238,0.01208405,0.01909852,0.04099159,0.06521659,0.01194227,0.02055068,0.01379808,0.05318938,0.00817413,0.01587753,0.01338984,0.05011611,0.04998241,0.05767854,0.02714788,0.00780346,0.02314806,0.01425485,0.01161317,0.02328927,0.01112523,0.01660734,0.01219469,0.01390825,0.0127134,0.0075609,0.00883738,0.01974931,0.02807097,0.01795061,0.01028023,0.04264878,0.04855229,0.02072137,0.01424529,0.02094432,0.01668355,0.01491314,0.01208367,0.00346071,0.03014764,0.02303211,0.05202975,0.05349667,0.01989605,0.02704297,0.0345383,0.00832902,0.03513413,0.04977803,0.0201696,0.07701469,0.0523988,0.05038116,0.03933887,0.06744102,0.04708921,0.00782067,0.02356122,0.02724789,0.02518247,0.02963752,0.01142344,0.01971109,0.00985119,0.03256063,0.02216352,0.00118211,0.02885876,0.01357494,0.0442773,0.01216329,0.03085228,0.04076026,0.0059945,0.01354154,0.01135656,0.01445525,0.01715589,0.01639956,0.02079668,0.00466467,0.04250772,0.01322743,0.02403936,0.01960818,0.03408849,0.00639475,0.01560612,0.06633747,0.03169533,0.00482535,0.00538645,0.00136346,0.019986,0.01254006,0.00800803
